# DS-Lite attack corpus — single source of truth for the run.sh menu.
# Format:  id | group | name | vantage
# run.sh renders the attack menu from this file (auto-numbered, grouped)
# and dispatches by id, so adding/removing/reordering attacks here keeps
# the interactive menu in sync without editing run.sh's numbering.
#
# IDs are the paper's 12-attack scheme (T1-T12), matching the classification
# table and the verifier (defenses/verify_defenses.sh). T11 combines the two
# rogue-AFTR variants (name-substituting + name-preserving) that the paper
# analyses as one attack.
T1|A1 NAT/CGN surface|NAT Binding-Table Exhaustion|LAN/ISP
T2|A2 Softwire surface|Softwire Endpoint Spoofing & On-Path MITM|ISP
T3|A2 Softwire surface|Unencrypted-Tunnel Interception|ISP
T4|A2 Softwire surface|Downstream Softwire Injection|ISP
T5|A2 Softwire surface|Unauthenticated Softwire Decapsulation|ISP
T6|A2 Softwire surface|Softwire Identity Multiplication|ISP
T7|A3 Fragmentation surface|Softwire Reassembly Poisoning|ISP
T8|B1 PCP surface|Unauthorized THIRD_PARTY Forwarding|LAN
T9|B1 PCP surface|Cross-Subscriber PCP PEER + THIRD_PARTY|LAN
T10|B2 DNS surface|B4 DNS Cache Poisoning|ISP
T11|B3 DHCPv6 surface|Rogue AFTR Hijack (name-substituting + name-preserving)|ISP
T12|C1 SNMP surface|DS-Lite MIB Unauthenticated Access|MGMT
